ID,Year,Authors,Date,Completion,Study site,Latitude,Longitude,Lat zone,Ocean Basin,Study environment,Age of reef,Age category,Substrate type,Rugosity,Vertical relief,Openings,Material type,Shape of reef,General Reef Type,Specific Reef Type,Experimental group,N,Size of reef,Size of reef units,Control pre or post AR,Size of plot ,Plot size units,Volume of plot,Depth,Depth units,Distance offshore,Distance offshore units,Purpose of reef,Method of data collection,Month,Season,Averageable,Duration,Fish Abundance,Abundance units,Abundance upper error,Abundance lower error,Abundance SE,Abundance SD,Abundance error type,Fish Biomass,Biomass units,Biomass upper error,Biomass lower error,Biomass SE,Biomass SD,Biomass error type,Fish Species Richness,Species Richness units,Species richness upper error,Species richness lower error,Species richness SE,Species richness SD,Species richness error type,Paper conclusion,Number of metrics
25,2022,,,Y,,-17.916,116.636,,South Pacific,Offshore,,,Sand,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,32,1,,,1,m2,1,,,,,,BRUV,,Fall,X,,10.77705254,,13.87714097,9.106468717,3.100088431,0.548023388,SE,2401.596268,,4043.896205,572.7037146,1642.299937,290.3203556,SE,4.26,,4.6364,3.8295,0.3764,0.066538748,SE,,
25,2022,,,Y,,-17.916,116.636,,South Pacific,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,32,1,,,1,m2,1,,,,,,BRUV,,Fall,X,,14.81494352,,23.21667383,9.906950659,8.401730312,1.485230119,SE,14454.39771,,25037.44452,8408.141272,10583.04681,1870.836042,SE,5.8092,,6.4773,5.0682,0.6681,0.11810451,SE,,
25,2022,,,Y,,-17.916,116.636,,South Pacific,Offshore,,,Sand,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,34,1,,,1,m2,1,,,,,,BRUV,,Spring,X,,17.48235762,,27.48020701,10.77754885,9.99784939,1.714617025,SE,2784.197249,,6147.096062,2117.873421,3362.898813,576.7323885,SE,3.52,,4.02273,2.96591,0.50273,0.086217484,SE,,
25,2022,,,Y,,-17.916,116.636,,South Pacific,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,34,1,,,1,m2,1,,,,,,BRUV,,Spring,X,,14.31528504,,18.5481244,10.77705254,4.232839358,0.725925961,SE,9118.428562,,19090.61855,4979.663542,9972.189984,1710.216473,SE,3.9133,,4.31818,3.704545,0.40488,0.069436347,SE,,
25,2022,"van Elden, Meeuwig, et al",9/22/2024,Y,"Dampier, Australia",-17.916,116.636,,South Pacific,Offshore,,,Sand,Low rugosity,High vertical relief,No openings,Metal,Oil rig,Oil rig,Oil platform,Experimental,35,1,,,1,m2,1,,,,,,BRUV,,Fall,X,,23.37760412,,33.13828281,17.21075808,9.760678688,1.649855824,SE,1106.369004,,2401.596268,572.7037146,1295.227264,218.9333666,SE,4.6879,,5.1591,4.14773,0.4712,0.079647337,SE,,
25,2022,,,Y,,-17.916,116.636,,South Pacific,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,35,1,,,1,m2,1,,,,,,BRUV,,Fall,X,,20.77782098,,27.73894887,15.38126307,6.961127892,1.176645371,SE,6698.846094,,16280.58477,2788.046418,9581.738679,1619.609442,SE,4.3526,,4.7159,3.9773,0.3633,0.061408908,SE,,
26,2022,"Schramm, Marnane, et al",9/23/2024,Y,"Thevenard Island, Western Australia",-21.4634,116.0236,,South Pacific,Offshore,,,Sand,Low rugosity,Low vertical relief,No openings,Concrete,Tube,Pipeline,Pipeline,Experimental,11,250,,,0.004,m2,70,,,,,,ROV,,,,,54.4105,,62.1882,46.6521,7.7777,2.345064785,SE,6.6801,,7.733333,5.639999,1.053233,0.317561698,SE,8.3217,,8.98022,7.767912,-0.553788,-0.166973364,SE,,
26,2022,,,Y,,-21.4634,116.0236,,South Pacific,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,14,250,,,0.004,m2,70,,,,,,ROV,,,,,5.0946,,7.4836,2.8884,2.389,0.638487107,SE,0.3354,,0.479999,0.14666,0.144599,0.038645708,SE,1.01973,,1.1385,0.8923,-0.12743,-0.0340571,SE,,
27,2020,,,Y,,21.8172,91.8402,,Indian Ocean,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,2,,,,1,,1,,,,,,Underwater visual census,,,X,,631.4682,,960.975461,NA,232.9968187,164.7536305,SD,0.3944,,0.82479,NA,0.304331688,0.215195,SD,,,,,,0,,,
27,2020,,,Y,,21.8172,91.8402,,Indian Ocean,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,2,,,,1,,1,,,,,,Underwater visual census,,,X,,425.874,,565.8534,NA,98.98038297,69.9897,SD,0.25594,,0.5043,NA,0.17561704,0.12418,SD,,,,,,0,,,
27,2020,,,Y,,21.8172,91.8402,,Indian Ocean,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,2,,,,1,,1,,,,,,Underwater visual census,,,X,,298.6013,,331.7073,NA,23.4094771,16.553,SD,1.01119,,1.66666,NA,0.463487282,0.327735,SD,,,,,,0,,,
27,2020,,,Y,,21.8172,91.8402,,Indian Ocean,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,2,,,,1,,1,,,,,,Underwater visual census,,,X,,1091.608,,1995.1218,NA,638.8807349,451.7569,SD,0.8811,,1.3376,NA,0.322794246,0.22825,SD,,,,,,0,,,
27,2020,"Chowdhury, Hossain, et al",9/23/2024,Y,"Kutubdia, Bangladesh",21.8172,91.8402,,Indian Ocean,Offshore,,,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Ring,Designed reefs,Concrete ring reef,Experimental,3,,,,1,,1,,,,,,Underwater visual census,,,X,,1057.3426,,1341.4634,NA,164.0372204,94.70693333,SD,0.6209,,1.0385,NA,0.241101472,0.1392,SD,,,,,,0,,,
27,2020,,,Y,,21.8172,91.8402,,Indian Ocean,Offshore,,,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Ring,Designed reefs,Concrete ring reef,Experimental,3,,,,1,,1,,,,,,Underwater visual census,,,X,,782.2168,,1009.75595,NA,131.3697895,75.84638333,SD,0.6168,,1.01709,NA,0.231107539,0.13343,SD,,,,,,0,,,
27,2020,,,Y,,21.8172,91.8402,,Indian Ocean,Offshore,,,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Ring,Designed reefs,Concrete ring reef,Experimental,3,,,,1,,1,,,,,,Underwater visual census,,,X,,709.79023,,863.4146,NA,88.69507137,51.20812333,SD,1.3384,,2.2222,NA,0.510262168,0.2946,SD,,,,,,0,,,
27,2020,,,Y,,21.8172,91.8402,,Indian Ocean,Offshore,,,Sand,Low rugosity,Low vertical relief,With openings,Concrete,Ring,Designed reefs,Concrete ring reef,Experimental,3,,,,1,,1,,,,,,Underwater visual census,,,X,,1874.825,,3175.6097,NA,751.0083967,433.5949,SD,1.87133,,2.5128,NA,0.370352877,0.213823333,SD,,,,,,0,,,
28,2018,"Bond, Partridge, et al",9/23/2024,Y,"Dampier, Australia",-19.74564,115.7367,,South Pacific,Offshore,,,Sand,Low rugosity,Low vertical relief,No openings,Concrete,Tube,Pipeline,Pipeline,Experimental,21,,,,1,,1,,,,,,BRUV,,,,,20.38,,23.19,17.57,2.81,0.613192272,SE,16.82,,19.57,14.07,2.75,0.600099198,SE,6.48,,6.85,6.11,0.37,0.080740619,SE,,
28,2018,,,Y,,-19.74564,115.7367,,South Pacific,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,49,,,,1,,1,,,,,,BRUV,,,,,10.97,,11.99,9.95,1.02,0.145714286,SE,10.58,,12.94,8.22,2.36,0.337142857,SE,4.81,,5.07,4.53,0.26,0.037142857,SE,,
29,2017,"Streich, Ajemian, et al",9/23/2024,Y,"Port Aransas, Texas",27.4,-97,,North Atlantic,Offshore,,,Sand,High rugosity,High vertical relief,With openings,Concrete,Pyramid,Designed reefs,Concrete pyramids,Experimental,33,,,,1,,1,,,,,,Vertical line fishing,,,,,3.636,,0.166,0,0.762,4.377356737,SE,,,,,,0,,,,,,,0,,,
29,2017,,,Y,,27.4,-97,,North Atlantic,Offshore,,,Sand,High rugosity,High vertical relief,With openings,Concrete,Pyramid,Designed reefs,Concrete pyramids,Experimental,99,,,,1,,1,,,,,,Fish traps,,,,,1.077,,0.121,0.059,0.148,1.472581407,SE,,,,,,0,,,,,,,0,,,
29,2017,,,Y,,27.4,-97,,North Atlantic,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,12,,,,1,,1,,,,,,Vertical line fishing,,,,,0.083,,4.398,2.874,0.083,0.287520434,SE,,,,,,0,,,,,,,0,,,
29,2017,,,Y,,27.4,-97,,North Atlantic,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,27,,,,1,,1,,,,,,Fish traps,,,,,0.09,,1.225,0.929,0.031,0.161080725,SE,,,,,,0,,,,,,,0,,,
